admin_id,project_id,nodal_officer_assigned,dept_workload_score,sla_compliance_percentage,bottleneck_score
ADM-RJ-0346,LG-RJ-0346,Officer-RJ-346,9.4,59.4,50.7
ADM-SK-0347,LG-SK-0347,Officer-SK-347,5.6,60.2,49.8
ADM-TN-0348,LG-TN-0348,Officer-TN-348,7.4,25.1,93.6
ADM-TS-0349,LG-TS-0349,Officer-TS-349,6.4,84.7,19.2
ADM-TR-0350,LG-TR-0350,Officer-TR-350,3.6,68.1,39.8
ADM-UP-0351,LG-UP-0351,Officer-UP-351,9.1,50.2,62.3
ADM-UK-0352,LG-UK-0352,Officer-UK-352,7.5,58.9,51.4
ADM-WB-0353,LG-WB-0353,Officer-WB-353,3.2,31.1,86.1
ADM-AN-0354,LG-AN-0354,Officer-AN-354,8.6,75.8,30.2
ADM-CH-0355,LG-CH-0355,Officer-CH-355,7.8,75.8,30.2
ADM-DH-0356,LG-DH-0356,Officer-DH-356,6.3,35.9,80.2
ADM-DL-0357,LG-DL-0357,Officer-DL-357,5.4,57.8,52.8
ADM-JK-0358,LG-JK-0358,Officer-JK-358,6.3,58.8,51.4
ADM-LA-0359,LG-LA-0359,Officer-LA-359,8.8,90.0,12.5
ADM-LD-0360,LG-LD-0360,Officer-LD-360,5.2,91.9,10.1
ADM-PY-0361,LG-PY-0361,Officer-PY-361,5.8,42.8,71.5
ADM-AP-0362,LG-AP-0362,Officer-AP-362,7.3,76.7,29.2
ADM-AR-0363,LG-AR-0363,Officer-AR-363,5.6,58.7,51.6
ADM-AS-0364,LG-AS-0364,Officer-AS-364,4.3,73.8,32.7
ADM-BR-0365,LG-BR-0365,Officer-BR-365,2.6,77.1,28.6
ADM-CG-0366,LG-CG-0366,Officer-CG-366,2.5,35.6,80.5
ADM-GA-0367,LG-GA-0367,Officer-GA-367,3.7,64.2,44.8
ADM-GJ-0368,LG-GJ-0368,Officer-GJ-368,8.6,89.7,12.9
ADM-HR-0369,LG-HR-0369,Officer-HR-369,4.4,84.4,19.5
ADM-HP-0370,LG-HP-0370,Officer-HP-370,3.4,72.4,34.5
ADM-JH-0371,LG-JH-0371,Officer-JH-371,5.6,70.6,36.7
ADM-KA-0372,LG-KA-0372,Officer-KA-372,3.1,83.7,20.4
ADM-KL-0373,LG-KL-0373,Officer-KL-373,8.1,88.4,14.5
ADM-MP-0374,LG-MP-0374,Officer-MP-374,9.5,43.0,71.3
ADM-MH-0375,LG-MH-0375,Officer-MH-375,3.8,47.5,65.6
ADM-MN-0376,LG-MN-0376,Officer-MN-376,9.2,40.5,74.4
ADM-ML-0377,LG-ML-0377,Officer-ML-377,7.4,83.7,20.4
ADM-MZ-0378,LG-MZ-0378,Officer-MZ-378,5.9,73.6,33.0
ADM-NL-0379,LG-NL-0379,Officer-NL-379,6.5,53.4,58.3
ADM-OD-0380,LG-OD-0380,Officer-OD-380,4.1,64.7,44.1
ADM-PB-0381,LG-PB-0381,Officer-PB-381,7.1,70.2,37.3
ADM-RJ-0382,LG-RJ-0382,Officer-RJ-382,2.7,46.9,66.3
ADM-SK-0383,LG-SK-0383,Officer-SK-383,6.6,24.6,94.3
ADM-TN-0384,LG-TN-0384,Officer-TN-384,5.5,68.5,39.4
ADM-TS-0385,LG-TS-0385,Officer-TS-385,4.4,73.7,32.9
ADM-TR-0386,LG-TR-0386,Officer-TR-386,8.7,54.9,56.4
ADM-UP-0387,LG-UP-0387,Officer-UP-387,8.7,59.5,50.6
ADM-UK-0388,LG-UK-0388,Officer-UK-388,4.7,62.1,47.4
ADM-WB-0389,LG-WB-0389,Officer-WB-389,9.0,64.1,44.9
ADM-AN-0390,LG-AN-0390,Officer-AN-390,4.6,87.8,15.3
ADM-CH-0391,LG-CH-0391,Officer-CH-391,9.2,75.3,30.8
ADM-DH-0392,LG-DH-0392,Officer-DH-392,6.7,42.0,72.5
ADM-DL-0393,LG-DL-0393,Officer-DL-393,8.3,56.3,54.6
ADM-JK-0394,LG-JK-0394,Officer-JK-394,8.0,53.1,58.6
ADM-LA-0395,LG-LA-0395,Officer-LA-395,7.6,72.5,34.4
ADM-LD-0396,LG-LD-0396,Officer-LD-396,3.9,74.2,32.3
ADM-PY-0397,LG-PY-0397,Officer-PY-397,9.2,67.4,40.7
ADM-AP-0398,LG-AP-0398,Officer-AP-398,3.7,85.6,18.0
ADM-AR-0399,LG-AR-0399,Officer-AR-399,3.3,75.0,31.2
ADM-AS-0400,LG-AS-0400,Officer-AS-400,7.7,79.1,26.1
ADM-BR-0401,LG-BR-0401,Officer-BR-401,8.5,40.1,74.9
ADM-CG-0402,LG-CG-0402,Officer-CG-402,5.7,46.7,66.7
ADM-GA-0403,LG-GA-0403,Officer-GA-403,7.3,71.7,35.4
ADM-GJ-0404,LG-GJ-0404,Officer-GJ-404,5.5,45.6,68.0
ADM-HR-0405,LG-HR-0405,Officer-HR-405,5.7,61.4,48.3
ADM-HP-0406,LG-HP-0406,Officer-HP-406,7.9,84.1,19.8
ADM-JH-0407,LG-JH-0407,Officer-JH-407,2.6,72.8,34.1
ADM-KA-0408,LG-KA-0408,Officer-KA-408,4.7,54.4,57.0
ADM-KL-0409,LG-KL-0409,Officer-KL-409,6.7,50.2,62.2
ADM-MP-0410,LG-MP-0410,Officer-MP-410,7.1,80.7,24.2
ADM-MH-0411,LG-MH-0411,Officer-MH-411,7.3,75.3,30.9
ADM-MN-0412,LG-MN-0412,Officer-MN-412,2.6,67.3,40.9
ADM-ML-0413,LG-ML-0413,Officer-ML-413,6.4,43.4,70.7
ADM-MZ-0414,LG-MZ-0414,Officer-MZ-414,3.1,47.0,66.3
ADM-NL-0415,LG-NL-0415,Officer-NL-415,5.6,54.3,57.1
ADM-OD-0416,LG-OD-0416,Officer-OD-416,5.1,45.3,68.4
ADM-PB-0417,LG-PB-0417,Officer-PB-417,7.3,75.8,30.2
ADM-RJ-0418,LG-RJ-0418,Officer-RJ-418,4.4,46.3,67.1
ADM-SK-0419,LG-SK-0419,Officer-SK-419,8.4,40.5,74.3
ADM-TN-0420,LG-TN-0420,Officer-TN-420,3.1,67.3,40.9
ADM-TS-0421,LG-TS-0421,Officer-TS-421,3.0,53.8,57.8
ADM-TR-0422,LG-TR-0422,Officer-TR-422,6.9,58.9,51.3
ADM-UP-0423,LG-UP-0423,Officer-UP-423,5.6,43.3,70.9
ADM-UK-0424,LG-UK-0424,Officer-UK-424,5.2,30.3,87.1
ADM-WB-0425,LG-WB-0425,Officer-WB-425,2.4,76.1,29.8
ADM-AN-0426,LG-AN-0426,Officer-AN-426,3.8,50.3,62.1
ADM-CH-0427,LG-CH-0427,Officer-CH-427,5.7,29.5,88.1
ADM-DH-0428,LG-DH-0428,Officer-DH-428,8.8,55.2,56.0
ADM-DL-0429,LG-DL-0429,Officer-DL-429,4.1,60.6,49.2
ADM-JK-0430,LG-JK-0430,Officer-JK-430,9.2,51.8,60.3
ADM-LA-0431,LG-LA-0431,Officer-LA-431,6.2,73.1,33.7
ADM-LD-0432,LG-LD-0432,Officer-LD-432,4.1,85.5,18.1
ADM-PY-0433,LG-PY-0433,Officer-PY-433,8.2,79.8,25.2
ADM-AP-0434,LG-AP-0434,Officer-AP-434,8.0,65.6,43.0
ADM-AR-0435,LG-AR-0435,Officer-AR-435,4.4,64.6,44.2
ADM-AS-0436,LG-AS-0436,Officer-AS-436,8.5,91.3,10.9
ADM-BR-0437,LG-BR-0437,Officer-BR-437,6.4,63.4,45.8
ADM-CG-0438,LG-CG-0438,Officer-CG-438,9.1,64.7,44.1
ADM-GA-0439,LG-GA-0439,Officer-GA-439,6.1,79.9,25.2
ADM-GJ-0440,LG-GJ-0440,Officer-GJ-440,8.0,54.1,57.4
ADM-HR-0441,LG-HR-0441,Officer-HR-441,7.1,50.9,61.4
ADM-HP-0442,LG-HP-0442,Officer-HP-442,4.2,63.7,45.3
ADM-JH-0443,LG-JH-0443,Officer-JH-443,3.8,41.7,72.8
ADM-KA-0444,LG-KA-0444,Officer-KA-444,2.8,69.8,37.7
ADM-KL-0445,LG-KL-0445,Officer-KL-445,3.6,53.5,58.1
ADM-MP-0446,LG-MP-0446,Officer-MP-446,2.6,89.5,13.1
ADM-MH-0447,LG-MH-0447,Officer-MH-447,5.2,86.0,17.6
ADM-MN-0448,LG-MN-0448,Officer-MN-448,8.1,28.6,89.3
ADM-ML-0449,LG-ML-0449,Officer-ML-449,7.2,69.2,38.4
ADM-MZ-0450,LG-MZ-0450,Officer-MZ-450,5.7,41.6,73.0
ADM-NL-0451,LG-NL-0451,Officer-NL-451,7.4,71.9,35.1
ADM-OD-0452,LG-OD-0452,Officer-OD-452,8.2,85.0,18.8
ADM-PB-0453,LG-PB-0453,Officer-PB-453,3.3,89.5,13.2
ADM-RJ-0454,LG-RJ-0454,Officer-RJ-454,8.6,64.8,44.0
ADM-SK-0455,LG-SK-0455,Officer-SK-455,9.0,69.1,38.6
ADM-TN-0456,LG-TN-0456,Officer-TN-456,6.7,30.1,87.4
ADM-TS-0457,LG-TS-0457,Officer-TS-457,7.0,90.1,12.4
ADM-TR-0458,LG-TR-0458,Officer-TR-458,4.1,91.1,11.1
ADM-UP-0459,LG-UP-0459,Officer-UP-459,4.8,74.4,32.0
ADM-UK-0460,LG-UK-0460,Officer-UK-460,6.3,48.8,64.0
ADM-WB-0461,LG-WB-0461,Officer-WB-461,8.8,63.4,45.8
ADM-AN-0462,LG-AN-0462,Officer-AN-462,5.6,64.5,44.4
ADM-CH-0463,LG-CH-0463,Officer-CH-463,3.2,73.2,33.5
ADM-DH-0464,LG-DH-0464,Officer-DH-464,4.9,45.0,68.7
ADM-DL-0465,LG-DL-0465,Officer-DL-465,6.8,88.4,14.5
ADM-JK-0466,LG-JK-0466,Officer-JK-466,2.1,59.3,50.9
ADM-LA-0467,LG-LA-0467,Officer-LA-467,2.6,59.1,51.1
ADM-LD-0468,LG-LD-0468,Officer-LD-468,4.7,87.0,16.3
ADM-PY-0469,LG-PY-0469,Officer-PY-469,4.4,82.8,21.5
ADM-AP-0470,LG-AP-0470,Officer-AP-470,6.3,73.7,32.9
ADM-AR-0471,LG-AR-0471,Officer-AR-471,2.5,82.8,21.6
ADM-AS-0472,LG-AS-0472,Officer-AS-472,6.2,62.5,46.8
ADM-BR-0473,LG-BR-0473,Officer-BR-473,9.1,77.1,28.6
ADM-CG-0474,LG-CG-0474,Officer-CG-474,8.9,73.9,32.6
ADM-GA-0475,LG-GA-0475,Officer-GA-475,2.7,73.2,33.5
ADM-GJ-0476,LG-GJ-0476,Officer-GJ-476,6.8,34.8,81.5
ADM-HR-0477,LG-HR-0477,Officer-HR-477,8.2,47.4,65.7
ADM-HP-0478,LG-HP-0478,Officer-HP-478,4.6,54.4,56.9
ADM-JH-0479,LG-JH-0479,Officer-JH-479,8.0,80.6,24.2
ADM-KA-0480,LG-KA-0480,Officer-KA-480,8.5,88.6,14.3
ADM-KL-0481,LG-KL-0481,Officer-KL-481,7.0,84.9,18.9
ADM-MP-0482,LG-MP-0482,Officer-MP-482,3.4,71.1,36.1
ADM-MH-0483,LG-MH-0483,Officer-MH-483,2.1,74.3,32.1
ADM-MN-0484,LG-MN-0484,Officer-MN-484,9.3,70.0,37.5
ADM-ML-0485,LG-ML-0485,Officer-ML-485,3.2,66.0,42.5
ADM-MZ-0486,LG-MZ-0486,Officer-MZ-486,6.2,50.1,62.4
ADM-NL-0487,LG-NL-0487,Officer-NL-487,4.1,49.2,63.5
ADM-OD-0488,LG-OD-0488,Officer-OD-488,7.6,81.2,23.4
ADM-PB-0489,LG-PB-0489,Officer-PB-489,3.7,60.6,49.2
ADM-RJ-0490,LG-RJ-0490,Officer-RJ-490,2.6,40.1,74.9
ADM-SK-0491,LG-SK-0491,Officer-SK-491,7.9,26.4,92.0
ADM-TN-0492,LG-TN-0492,Officer-TN-492,2.2,72.0,35.0
ADM-TS-0493,LG-TS-0493,Officer-TS-493,5.3,57.1,53.6
ADM-TR-0494,LG-TR-0494,Officer-TR-494,2.8,87.8,15.3
ADM-UP-0495,LG-UP-0495,Officer-UP-495,3.9,26.5,91.9
ADM-UK-0496,LG-UK-0496,Officer-UK-496,5.0,61.2,48.5
ADM-WB-0497,LG-WB-0497,Officer-WB-497,9.4,85.0,18.7
ADM-AN-0498,LG-AN-0498,Officer-AN-498,8.7,72.1,34.9
ADM-CH-0499,LG-CH-0499,Officer-CH-499,2.3,44.0,70.0
ADM-DH-0500,LG-DH-0500,Officer-DH-500,7.0,60.6,49.2
ADM-DL-0501,LG-DL-0501,Officer-DL-501,9.1,72.3,34.6
ADM-JK-0502,LG-JK-0502,Officer-JK-502,2.4,72.7,34.1
ADM-LA-0503,LG-LA-0503,Officer-LA-503,7.9,90.8,11.5
ADM-LD-0504,LG-LD-0504,Officer-LD-504,5.3,50.8,61.5
ADM-PY-0505,LG-PY-0505,Officer-PY-505,8.4,62.2,47.3
ADM-AP-0506,LG-AP-0506,Officer-AP-506,6.5,59.9,50.1
ADM-AR-0507,LG-AR-0507,Officer-AR-507,5.5,83.6,20.5
ADM-AS-0508,LG-AS-0508,Officer-AS-508,2.4,75.6,30.5
ADM-BR-0509,LG-BR-0509,Officer-BR-509,4.3,43.1,71.1
ADM-CG-0510,LG-CG-0510,Officer-CG-510,7.3,32.8,84.0
ADM-GA-0511,LG-GA-0511,Officer-GA-511,5.3,72.9,33.9
ADM-GJ-0512,LG-GJ-0512,Officer-GJ-512,4.7,26.0,92.6
ADM-HR-0513,LG-HR-0513,Officer-HR-513,6.3,59.5,50.7
ADM-HP-0514,LG-HP-0514,Officer-HP-514,3.6,51.6,60.5
ADM-JH-0515,LG-JH-0515,Officer-JH-515,3.4,74.6,31.8
ADM-KA-0516,LG-KA-0516,Officer-KA-516,9.4,67.4,40.8
ADM-KL-0517,LG-KL-0517,Officer-KL-517,6.0,76.0,30.0
ADM-MP-0518,LG-MP-0518,Officer-MP-518,7.1,76.1,29.8
ADM-MH-0519,LG-MH-0519,Officer-MH-519,8.8,71.2,36.0
ADM-MN-0520,LG-MN-0520,Officer-MN-520,4.4,57.1,53.6
ADM-ML-0521,LG-ML-0521,Officer-ML-521,5.8,55.6,55.6
ADM-MZ-0522,LG-MZ-0522,Officer-MZ-522,5.0,57.5,53.1
ADM-NL-0523,LG-NL-0523,Officer-NL-523,7.2,60.4,49.5
ADM-OD-0524,LG-OD-0524,Officer-OD-524,5.6,59.5,50.6
ADM-PB-0525,LG-PB-0525,Officer-PB-525,3.5,55.3,55.9
ADM-RJ-0526,LG-RJ-0526,Officer-RJ-526,3.3,40.6,74.3
ADM-SK-0527,LG-SK-0527,Officer-SK-527,8.8,75.5,30.6
ADM-TN-0528,LG-TN-0528,Officer-TN-528,7.3,50.1,62.4
ADM-TS-0529,LG-TS-0529,Officer-TS-529,6.9,44.4,69.5
ADM-TR-0530,LG-TR-0530,Officer-TR-530,6.3,65.0,43.8
ADM-UP-0531,LG-UP-0531,Officer-UP-531,8.9,79.8,25.3
ADM-UK-0532,LG-UK-0532,Officer-UK-532,6.1,69.9,37.6
ADM-WB-0533,LG-WB-0533,Officer-WB-533,3.3,72.4,34.5
ADM-AN-0534,LG-AN-0534,Officer-AN-534,8.9,49.3,63.4
ADM-CH-0535,LG-CH-0535,Officer-CH-535,8.0,68.4,39.5
ADM-DH-0536,LG-DH-0536,Officer-DH-536,4.8,74.1,32.4
ADM-DL-0537,LG-DL-0537,Officer-DL-537,2.7,78.7,26.6
ADM-JK-0538,LG-JK-0538,Officer-JK-538,3.1,42.2,72.2
ADM-LA-0539,LG-LA-0539,Officer-LA-539,5.7,44.2,69.7
ADM-LD-0540,LG-LD-0540,Officer-LD-540,3.4,69.6,38.0
ADM-PY-0541,LG-PY-0541,Officer-PY-541,6.4,43.4,70.8
ADM-AP-0542,LG-AP-0542,Officer-AP-542,5.6,88.8,14.0
ADM-AR-0543,LG-AR-0543,Officer-AR-543,4.8,43.1,71.1
ADM-AS-0544,LG-AS-0544,Officer-AS-544,8.6,44.7,69.2
ADM-BR-0545,LG-BR-0545,Officer-BR-545,4.0,66.5,41.8
ADM-CG-0546,LG-CG-0546,Officer-CG-546,7.8,51.8,60.2
ADM-GA-0547,LG-GA-0547,Officer-GA-547,4.4,42.1,72.4
ADM-GJ-0548,LG-GJ-0548,Officer-GJ-548,7.6,90.2,12.3
ADM-HR-0549,LG-HR-0549,Officer-HR-549,3.0,45.7,67.9
ADM-HP-0550,LG-HP-0550,Officer-HP-550,6.0,78.0,27.5
ADM-JH-0551,LG-JH-0551,Officer-JH-551,3.5,56.6,54.2
ADM-KA-0552,LG-KA-0552,Officer-KA-552,6.5,72.4,34.5
ADM-KL-0553,LG-KL-0553,Officer-KL-553,5.1,42.9,71.3
ADM-MP-0554,LG-MP-0554,Officer-MP-554,6.2,29.5,88.1
ADM-MH-0555,LG-MH-0555,Officer-MH-555,4.0,86.4,17.0
ADM-MN-0556,LG-MN-0556,Officer-MN-556,6.8,66.9,41.4
ADM-ML-0557,LG-ML-0557,Officer-ML-557,8.9,68.8,39.0
ADM-MZ-0558,LG-MZ-0558,Officer-MZ-558,7.5,51.9,60.1
ADM-NL-0559,LG-NL-0559,Officer-NL-559,4.3,60.0,50.0
ADM-OD-0560,LG-OD-0560,Officer-OD-560,6.4,80.0,24.9
ADM-PB-0561,LG-PB-0561,Officer-PB-561,6.1,45.0,68.7
ADM-RJ-0562,LG-RJ-0562,Officer-RJ-562,8.9,64.1,44.8
ADM-SK-0563,LG-SK-0563,Officer-SK-563,7.4,68.3,39.7
ADM-TN-0564,LG-TN-0564,Officer-TN-564,8.6,66.5,41.8
ADM-TS-0565,LG-TS-0565,Officer-TS-565,4.9,41.7,72.9
ADM-TR-0566,LG-TR-0566,Officer-TR-566,3.0,42.0,72.5
ADM-UP-0567,LG-UP-0567,Officer-UP-567,9.1,68.1,39.9
ADM-UK-0568,LG-UK-0568,Officer-UK-568,5.8,66.7,41.6
ADM-WB-0569,LG-WB-0569,Officer-WB-569,3.4,73.5,33.2
ADM-AN-0570,LG-AN-0570,Officer-AN-570,7.9,82.7,21.6
ADM-CH-0571,LG-CH-0571,Officer-CH-571,6.4,91.9,10.1
ADM-DH-0572,LG-DH-0572,Officer-DH-572,7.0,73.9,32.7
ADM-DL-0573,LG-DL-0573,Officer-DL-573,6.6,56.7,54.2
ADM-JK-0574,LG-JK-0574,Officer-JK-574,3.1,84.3,19.7
ADM-LA-0575,LG-LA-0575,Officer-LA-575,3.9,64.0,45.0
ADM-LD-0576,LG-LD-0576,Officer-LD-576,3.6,70.9,36.4
ADM-PY-0577,LG-PY-0577,Officer-PY-577,2.7,58.8,51.5
ADM-AP-0578,LG-AP-0578,Officer-AP-578,4.4,64.9,43.8
ADM-AR-0579,LG-AR-0579,Officer-AR-579,6.0,52.0,60.0
ADM-AS-0580,LG-AS-0580,Officer-AS-580,4.8,64.0,45.0
ADM-BR-0581,LG-BR-0581,Officer-BR-581,8.7,44.6,69.3
ADM-CG-0582,LG-CG-0582,Officer-CG-582,5.8,57.6,53.0
ADM-GA-0583,LG-GA-0583,Officer-GA-583,5.3,43.5,70.6
ADM-GJ-0584,LG-GJ-0584,Officer-GJ-584,7.5,33.1,83.7
ADM-HR-0585,LG-HR-0585,Officer-HR-585,5.6,40.9,73.9
ADM-HP-0586,LG-HP-0586,Officer-HP-586,2.6,90.0,12.5
ADM-JH-0587,LG-JH-0587,Officer-JH-587,6.6,25.4,93.2
ADM-KA-0588,LG-KA-0588,Officer-KA-588,8.7,72.4,34.4
ADM-KL-0589,LG-KL-0589,Officer-KL-589,6.5,89.2,13.5
ADM-MP-0590,LG-MP-0590,Officer-MP-590,9.5,48.6,64.2
ADM-MH-0591,LG-MH-0591,Officer-MH-591,8.4,55.5,55.7
ADM-MN-0592,LG-MN-0592,Officer-MN-592,3.1,53.4,58.3
ADM-ML-0593,LG-ML-0593,Officer-ML-593,9.1,62.8,46.5
ADM-MZ-0594,LG-MZ-0594,Officer-MZ-594,4.0,46.5,66.8
ADM-NL-0595,LG-NL-0595,Officer-NL-595,8.4,51.1,61.1
ADM-OD-0596,LG-OD-0596,Officer-OD-596,7.7,30.6,86.8
ADM-PB-0597,LG-PB-0597,Officer-PB-597,7.9,48.0,65.0
ADM-RJ-0598,LG-RJ-0598,Officer-RJ-598,5.8,73.5,33.1
ADM-SK-0599,LG-SK-0599,Officer-SK-599,9.0,26.0,92.5
ADM-TN-0600,LG-TN-0600,Officer-TN-600,2.8,60.3,49.7
ADM-TS-0601,LG-TS-0601,Officer-TS-601,9.3,72.3,34.6
ADM-TR-0602,LG-TR-0602,Officer-TR-602,6.9,41.5,73.1
ADM-UP-0603,LG-UP-0603,Officer-UP-603,2.0,63.0,46.2
ADM-UK-0604,LG-UK-0604,Officer-UK-604,5.0,52.0,60.0
ADM-WB-0605,LG-WB-0605,Officer-WB-605,4.6,24.8,94.0
ADM-AN-0606,LG-AN-0606,Officer-AN-606,2.0,73.1,33.7
ADM-CH-0607,LG-CH-0607,Officer-CH-607,3.2,85.9,17.6
ADM-DH-0608,LG-DH-0608,Officer-DH-608,8.7,81.7,22.9
ADM-DL-0609,LG-DL-0609,Officer-DL-609,8.3,44.5,69.4
ADM-JK-0610,LG-JK-0610,Officer-JK-610,9.5,74.5,31.9
ADM-LA-0611,LG-LA-0611,Officer-LA-611,4.1,63.8,45.3
ADM-LD-0612,LG-LD-0612,Officer-LD-612,3.3,64.9,43.9
ADM-PY-0613,LG-PY-0613,Officer-PY-613,3.3,60.8,49.0
ADM-AP-0614,LG-AP-0614,Officer-AP-614,3.3,46.5,66.8
ADM-AR-0615,LG-AR-0615,Officer-AR-615,8.8,78.1,27.4
ADM-AS-0616,LG-AS-0616,Officer-AS-616,8.4,54.5,56.9
ADM-BR-0617,LG-BR-0617,Officer-BR-617,3.4,43.5,70.6
ADM-CG-0618,LG-CG-0618,Officer-CG-618,7.7,74.3,32.1
ADM-GA-0619,LG-GA-0619,Officer-GA-619,4.0,47.5,65.6
ADM-GJ-0620,LG-GJ-0620,Officer-GJ-620,8.3,75.7,30.4
ADM-HR-0621,LG-HR-0621,Officer-HR-621,5.9,52.1,59.8
ADM-HP-0622,LG-HP-0622,Officer-HP-622,4.8,48.6,64.2
ADM-JH-0623,LG-JH-0623,Officer-JH-623,2.8,83.8,20.3
ADM-KA-0624,LG-KA-0624,Officer-KA-624,7.5,52.7,59.2
ADM-KL-0625,LG-KL-0625,Officer-KL-625,2.3,87.7,15.4
ADM-MP-0626,LG-MP-0626,Officer-MP-626,6.8,49.4,63.3
ADM-MH-0627,LG-MH-0627,Officer-MH-627,4.6,73.5,33.1
ADM-MN-0628,LG-MN-0628,Officer-MN-628,4.8,91.3,10.9
ADM-ML-0629,LG-ML-0629,Officer-ML-629,8.6,74.5,31.9
ADM-MZ-0630,LG-MZ-0630,Officer-MZ-630,8.2,46.8,66.4
ADM-NL-0631,LG-NL-0631,Officer-NL-631,7.0,83.9,20.2
ADM-OD-0632,LG-OD-0632,Officer-OD-632,8.7,32.0,84.9
ADM-PB-0633,LG-PB-0633,Officer-PB-633,9.2,42.6,71.8
ADM-RJ-0634,LG-RJ-0634,Officer-RJ-634,9.4,62.6,46.8
ADM-SK-0635,LG-SK-0635,Officer-SK-635,5.6,51.7,60.3
ADM-TN-0636,LG-TN-0636,Officer-TN-636,2.0,42.4,72.0
ADM-TS-0637,LG-TS-0637,Officer-TS-637,6.7,91.5,10.6
ADM-TR-0638,LG-TR-0638,Officer-TR-638,8.6,58.1,52.4
ADM-UP-0639,LG-UP-0639,Officer-UP-639,3.5,43.7,70.4
ADM-UK-0640,LG-UK-0640,Officer-UK-640,5.7,72.7,34.1
ADM-WB-0641,LG-WB-0641,Officer-WB-641,9.5,86.1,17.4
ADM-AN-0642,LG-AN-0642,Officer-AN-642,6.1,64.2,44.7
ADM-CH-0643,LG-CH-0643,Officer-CH-643,9.0,44.0,70.0
ADM-DH-0644,LG-DH-0644,Officer-DH-644,9.4,69.4,38.2
ADM-DL-0645,LG-DL-0645,Officer-DL-645,8.7,62.4,47.0
ADM-JK-0646,LG-JK-0646,Officer-JK-646,5.8,32.9,83.8
ADM-LA-0647,LG-LA-0647,Officer-LA-647,6.1,68.4,39.5
ADM-LD-0648,LG-LD-0648,Officer-LD-648,7.5,63.1,46.1
ADM-PY-0649,LG-PY-0649,Officer-PY-649,4.9,84.9,18.8
ADM-AP-0650,LG-AP-0650,Officer-AP-650,3.7,72.6,34.2
ADM-AR-0651,LG-AR-0651,Officer-AR-651,3.5,72.1,34.9
ADM-AS-0652,LG-AS-0652,Officer-AS-652,5.2,84.7,19.2
ADM-BR-0653,LG-BR-0653,Officer-BR-653,5.9,47.0,66.2
ADM-CG-0654,LG-CG-0654,Officer-CG-654,4.5,81.2,23.5
ADM-GA-0655,LG-GA-0655,Officer-GA-655,8.0,83.4,20.7
ADM-GJ-0656,LG-GJ-0656,Officer-GJ-656,6.6,45.9,67.7
ADM-HR-0657,LG-HR-0657,Officer-HR-657,6.1,73.6,33.0
ADM-HP-0658,LG-HP-0658,Officer-HP-658,2.7,71.9,35.1
ADM-JH-0659,LG-JH-0659,Officer-JH-659,2.4,81.8,22.8
ADM-KA-0660,LG-KA-0660,Officer-KA-660,6.9,40.7,74.1
ADM-KL-0661,LG-KL-0661,Officer-KL-661,6.3,45.7,67.9
ADM-MP-0662,LG-MP-0662,Officer-MP-662,6.3,80.1,24.9
ADM-MH-0663,LG-MH-0663,Officer-MH-663,3.6,43.8,70.2
ADM-MN-0664,LG-MN-0664,Officer-MN-664,8.5,74.9,31.4
ADM-ML-0665,LG-ML-0665,Officer-ML-665,6.5,55.1,56.1
ADM-MZ-0666,LG-MZ-0666,Officer-MZ-666,2.3,29.1,88.7
ADM-NL-0667,LG-NL-0667,Officer-NL-667,7.9,55.8,55.3
ADM-OD-0668,LG-OD-0668,Officer-OD-668,7.0,30.0,87.5
ADM-PB-0669,LG-PB-0669,Officer-PB-669,9.0,27.1,91.2
ADM-RJ-0670,LG-RJ-0670,Officer-RJ-670,7.3,42.2,72.2
ADM-SK-0671,LG-SK-0671,Officer-SK-671,2.8,56.0,55.0
ADM-TN-0672,LG-TN-0672,Officer-TN-672,2.7,84.0,20.0
ADM-TS-0673,LG-TS-0673,Officer-TS-673,4.3,87.4,15.7
ADM-TR-0674,LG-TR-0674,Officer-TR-674,5.0,69.3,38.3
ADM-UP-0675,LG-UP-0675,Officer-UP-675,2.3,42.6,71.7
ADM-UK-0676,LG-UK-0676,Officer-UK-676,6.5,86.9,16.4
ADM-WB-0677,LG-WB-0677,Officer-WB-677,3.6,55.2,56.0
ADM-AN-0678,LG-AN-0678,Officer-AN-678,6.9,48.6,64.2
ADM-CH-0679,LG-CH-0679,Officer-CH-679,5.8,74.3,32.1
ADM-DH-0680,LG-DH-0680,Officer-DH-680,2.7,72.5,34.3
ADM-DL-0681,LG-DL-0681,Officer-DL-681,6.4,47.9,65.1
ADM-JK-0682,LG-JK-0682,Officer-JK-682,4.1,73.9,32.7
ADM-LA-0683,LG-LA-0683,Officer-LA-683,6.0,64.4,44.5
ADM-LD-0684,LG-LD-0684,Officer-LD-684,5.1,59.4,50.7
ADM-PY-0685,LG-PY-0685,Officer-PY-685,4.4,72.9,33.9
ADM-AP-0686,LG-AP-0686,Officer-AP-686,2.6,47.3,65.9
ADM-AR-0687,LG-AR-0687,Officer-AR-687,4.0,69.8,37.8
ADM-AS-0688,LG-AS-0688,Officer-AS-688,4.4,42.4,72.0
ADM-BR-0689,LG-BR-0689,Officer-BR-689,8.5,72.6,34.3
ADM-CG-0690,LG-CG-0690,Officer-CG-690,3.8,67.0,41.3
ADM-GA-0691,LG-GA-0691,Officer-GA-691,4.2,78.1,27.4
