rr_id,project_id,families_eligible,families_rehabilitated,families_pending,site_readiness_percentage,grant_disbursed_cr
RR-UP-0423,LG-UP-0423,786,244,542,31.1,103.99
RR-UK-0424,LG-UK-0424,636,179,457,28.2,37.38
RR-WB-0425,LG-WB-0425,2662,2527,135,94.9,141.18
RR-AN-0426,LG-AN-0426,1680,795,885,47.4,41.57
RR-CH-0427,LG-CH-0427,602,160,442,26.6,25.26
RR-DH-0428,LG-DH-0428,780,308,472,39.6,100.61
RR-DL-0429,LG-DL-0429,1571,1075,496,68.5,182.34
RR-JK-0430,LG-JK-0430,574,282,292,49.2,38.34
RR-LA-0431,LG-LA-0431,221,138,83,62.5,14.81
RR-LD-0432,LG-LD-0432,94,84,10,90.2,9.12
RR-PY-0433,LG-PY-0433,2701,2653,48,98.2,400.7
RR-AP-0434,LG-AP-0434,2779,2004,775,72.1,200.59
RR-AR-0435,LG-AR-0435,1224,844,380,69.0,114.96
RR-AS-0436,LG-AS-0436,1592,1510,82,94.9,240.26
RR-BR-0437,LG-BR-0437,829,654,175,79.0,45.87
RR-CG-0438,LG-CG-0438,951,627,324,65.9,90.48
RR-GA-0439,LG-GA-0439,1245,1229,16,98.8,113.07
RR-GJ-0440,LG-GJ-0440,69,36,33,52.9,2.36
RR-HR-0441,LG-HR-0441,261,152,109,58.3,35.25
RR-HP-0442,LG-HP-0442,355,215,140,60.8,75.96
RR-JH-0443,LG-JH-0443,781,186,595,23.9,56.22
RR-KA-0444,LG-KA-0444,843,563,280,66.8,91.08
RR-KL-0445,LG-KL-0445,758,333,425,44.1,152.28
RR-MP-0446,LG-MP-0446,1470,1248,222,84.9,236.98
RR-MH-0447,LG-MH-0447,90,79,11,88.5,4.61
RR-MN-0448,LG-MN-0448,696,190,506,27.3,18.7
RR-ML-0449,LG-ML-0449,1606,1044,562,65.0,83.34
RR-MZ-0450,LG-MZ-0450,1229,127,1102,10.4,26.29
RR-NL-0451,LG-NL-0451,583,366,217,62.8,51.51
RR-OD-0452,LG-OD-0452,1435,1282,153,89.4,144.79
RR-PB-0453,LG-PB-0453,1047,874,173,83.6,149.25
RR-RJ-0454,LG-RJ-0454,292,204,88,70.0,14.18
RR-SK-0455,LG-SK-0455,1695,1306,389,77.1,238.11
RR-TN-0456,LG-TN-0456,36,8,28,24.4,1.4
RR-TS-0457,LG-TS-0457,813,754,59,92.7,119.86
RR-TR-0458,LG-TR-0458,1507,1285,222,85.3,171.79
RR-UP-0459,LG-UP-0459,1030,662,368,64.4,48.3
RR-UK-0460,LG-UK-0460,1119,489,630,43.7,31.13
RR-WB-0461,LG-WB-0461,1040,815,225,78.4,97.77
RR-AN-0462,LG-AN-0462,319,243,76,76.2,54.14
RR-CH-0463,LG-CH-0463,1077,851,226,79.0,80.42
RR-DH-0464,LG-DH-0464,374,163,211,43.6,34.67
RR-DL-0465,LG-DL-0465,2335,1880,455,80.5,176.37
RR-JK-0466,LG-JK-0466,676,427,249,63.3,68.87
RR-LA-0467,LG-LA-0467,69,52,17,75.6,5.75
RR-LD-0468,LG-LD-0468,1118,1093,25,97.8,126.59
RR-PY-0469,LG-PY-0469,308,301,7,97.9,66.6
RR-AP-0470,LG-AP-0470,1165,893,272,76.7,124.96
RR-AR-0471,LG-AR-0471,658,612,46,93.1,110.45
RR-AS-0472,LG-AS-0472,956,613,343,64.2,170.62
RR-BR-0473,LG-BR-0473,446,423,23,95.0,31.98
RR-CG-0474,LG-CG-0474,667,442,225,66.4,139.39
RR-GA-0475,LG-GA-0475,60,43,17,72.7,5.44
RR-GJ-0476,LG-GJ-0476,949,349,600,36.8,124.21
RR-HR-0477,LG-HR-0477,1378,812,566,58.9,30.92
RR-HP-0478,LG-HP-0478,452,248,204,54.9,45.55
RR-JH-0479,LG-JH-0479,1204,1037,167,86.1,74.51
RR-KA-0480,LG-KA-0480,523,460,63,88.1,114.78
RR-KL-0481,LG-KL-0481,793,759,34,95.8,57.7
RR-MP-0482,LG-MP-0482,833,614,219,73.8,59.42
RR-MH-0483,LG-MH-0483,100,63,37,63.9,15.08
RR-MN-0484,LG-MN-0484,1300,913,387,70.3,182.52
RR-ML-0485,LG-ML-0485,582,437,145,75.3,124.54
RR-MZ-0486,LG-MZ-0486,681,397,284,58.4,155.47
RR-NL-0487,LG-NL-0487,1498,836,662,55.8,232.13
RR-OD-0488,LG-OD-0488,2744,2225,519,81.1,179.09
RR-PB-0489,LG-PB-0489,1820,1343,477,73.8,187.32
RR-RJ-0490,LG-RJ-0490,1742,772,970,44.3,85.89
RR-SK-0491,LG-SK-0491,2130,389,1741,18.3,60.44
RR-TN-0492,LG-TN-0492,445,314,131,70.6,43.83
RR-TS-0493,LG-TS-0493,1420,859,561,60.5,102.79
RR-TR-0494,LG-TR-0494,1833,1831,2,99.9,265.8
RR-UP-0495,LG-UP-0495,938,276,662,29.5,58.11
RR-UK-0496,LG-UK-0496,1728,1360,368,78.7,204.68
RR-WB-0497,LG-WB-0497,1178,982,196,83.4,73.27
RR-AN-0498,LG-AN-0498,587,440,147,75.0,34.93
RR-CH-0499,LG-CH-0499,1006,537,469,53.4,50.32
RR-DH-0500,LG-DH-0500,1067,665,402,62.4,113.03
RR-DL-0501,LG-DL-0501,353,304,49,86.1,49.77
RR-JK-0502,LG-JK-0502,520,350,170,67.5,52.64
RR-LA-0503,LG-LA-0503,1615,1490,125,92.3,344.36
RR-LD-0504,LG-LD-0504,761,293,468,38.6,62.41
RR-PY-0505,LG-PY-0505,262,187,75,71.7,13.73
RR-AP-0506,LG-AP-0506,74,45,29,61.7,17.89
RR-AR-0507,LG-AR-0507,60,56,4,93.5,18.13
RR-AS-0508,LG-AS-0508,545,528,17,97.0,70.87
RR-BR-0509,LG-BR-0509,559,244,315,43.8,20.58
RR-CG-0510,LG-CG-0510,654,243,411,37.3,38.73
RR-GA-0511,LG-GA-0511,1406,1075,331,76.5,226.89
RR-GJ-0512,LG-GJ-0512,2586,568,2018,22.0,52.67
RR-HR-0513,LG-HR-0513,1009,713,296,70.7,293.49
RR-HP-0514,LG-HP-0514,249,109,140,43.9,9.19
RR-JH-0515,LG-JH-0515,631,452,179,71.7,42.23
RR-KA-0516,LG-KA-0516,308,203,105,66.2,29.87
RR-KL-0517,LG-KL-0517,84,72,12,86.5,4.15
RR-MP-0518,LG-MP-0518,1605,1584,21,98.7,228.2
RR-MH-0519,LG-MH-0519,230,153,77,66.8,29.88
RR-MN-0520,LG-MN-0520,986,679,307,69.0,135.92
RR-ML-0521,LG-ML-0521,1800,771,1029,42.8,37.89
RR-MZ-0522,LG-MZ-0522,336,215,121,64.1,25.47
RR-NL-0523,LG-NL-0523,1612,1238,374,76.9,107.96
RR-OD-0524,LG-OD-0524,166,103,63,62.2,18.52
RR-PB-0525,LG-PB-0525,235,127,108,54.2,13.66
RR-RJ-0526,LG-RJ-0526,647,316,331,48.9,53.81
RR-SK-0527,LG-SK-0527,527,479,48,90.9,75.17
RR-TN-0528,LG-TN-0528,2140,1283,857,60.0,237.16
RR-TS-0529,LG-TS-0529,1302,561,741,43.2,88.11
RR-TR-0530,LG-TR-0530,801,488,313,61.0,54.3
RR-UP-0531,LG-UP-0531,1325,1143,182,86.3,84.44
RR-UK-0532,LG-UK-0532,1448,966,482,66.8,263.69
RR-WB-0533,LG-WB-0533,724,569,155,78.6,187.18
RR-AN-0534,LG-AN-0534,2512,889,1623,35.4,149.23
RR-CH-0535,LG-CH-0535,948,708,240,74.7,112.89
RR-DH-0536,LG-DH-0536,228,224,4,98.3,24.29
RR-DL-0537,LG-DL-0537,22,20,2,92.6,10.73
RR-JK-0538,LG-JK-0538,64,34,30,53.3,10.24
RR-LA-0539,LG-LA-0539,543,247,296,45.7,16.51
RR-LD-0540,LG-LD-0540,1886,1346,540,71.4,208.8
RR-PY-0541,LG-PY-0541,850,499,351,58.7,107.76
RR-AP-0542,LG-AP-0542,251,222,29,88.7,34.39
RR-AR-0543,LG-AR-0543,333,140,193,42.0,27.63
RR-AS-0544,LG-AS-0544,1781,878,903,49.3,61.55
RR-BR-0545,LG-BR-0545,964,648,316,67.3,152.07
RR-CG-0546,LG-CG-0546,2007,1113,894,55.5,184.77
RR-GA-0547,LG-GA-0547,1478,870,608,58.9,68.19
RR-GJ-0548,LG-GJ-0548,827,688,139,83.3,76.64
RR-HR-0549,LG-HR-0549,1389,723,666,52.1,62.03
RR-HP-0550,LG-HP-0550,96,87,9,91.7,11.62
RR-JH-0551,LG-JH-0551,1073,740,333,69.0,65.55
RR-KA-0552,LG-KA-0552,2302,1523,779,66.2,69.64
RR-KL-0553,LG-KL-0553,95,25,70,27.0,2.87
RR-MP-0554,LG-MP-0554,282,42,240,15.2,10.46
RR-MH-0555,LG-MH-0555,655,532,123,81.3,81.87
RR-MN-0556,LG-MN-0556,845,568,277,67.3,260.81
RR-ML-0557,LG-ML-0557,2436,1892,544,77.7,249.97
RR-MZ-0558,LG-MZ-0558,1743,836,907,48.0,150.58
RR-NL-0559,LG-NL-0559,361,281,80,77.9,64.62
RR-OD-0560,LG-OD-0560,50,46,4,93.2,12.69
RR-PB-0561,LG-PB-0561,1832,1044,788,57.0,103.84
RR-RJ-0562,LG-RJ-0562,591,365,226,61.9,62.73
RR-SK-0563,LG-SK-0563,336,234,102,69.6,15.05
RR-TN-0564,LG-TN-0564,189,137,52,72.7,40.07
RR-TS-0565,LG-TS-0565,154,45,109,29.7,13.34
RR-TR-0566,LG-TR-0566,720,174,546,24.2,26.2
RR-UP-0567,LG-UP-0567,1554,945,609,60.9,58.38
RR-UK-0568,LG-UK-0568,493,332,161,67.4,21.67
RR-WB-0569,LG-WB-0569,807,741,66,91.9,90.07
RR-AN-0570,LG-AN-0570,1367,1244,123,91.1,169.3
RR-CH-0571,LG-CH-0571,479,461,18,96.3,73.23
RR-DH-0572,LG-DH-0572,119,72,47,60.8,12.8
RR-DL-0573,LG-DL-0573,385,289,96,75.2,68.23
RR-JK-0574,LG-JK-0574,434,397,37,91.6,73.17
RR-LA-0575,LG-LA-0575,749,505,244,67.5,98.73
RR-LD-0576,LG-LD-0576,1397,1092,305,78.2,65.99
RR-PY-0577,LG-PY-0577,1538,1062,476,69.1,88.19
RR-AP-0578,LG-AP-0578,546,385,161,70.7,33.49
RR-AR-0579,LG-AR-0579,456,179,277,39.4,61.65
RR-AS-0580,LG-AS-0580,2765,2104,661,76.1,223.01
RR-BR-0581,LG-BR-0581,977,403,574,41.3,72.38
RR-CG-0582,LG-CG-0582,770,516,254,67.0,78.57
RR-GA-0583,LG-GA-0583,739,399,340,54.1,39.5
RR-GJ-0584,LG-GJ-0584,179,62,117,34.8,4.42
RR-HR-0585,LG-HR-0585,297,85,212,28.9,8.24
RR-HP-0586,LG-HP-0586,146,130,16,89.3,11.73
RR-JH-0587,LG-JH-0587,814,200,614,24.6,56.09
RR-KA-0588,LG-KA-0588,835,666,169,79.8,238.46
RR-KL-0589,LG-KL-0589,1616,1315,301,81.4,79.71
RR-MP-0590,LG-MP-0590,1803,931,872,51.7,98.4
RR-MH-0591,LG-MH-0591,1424,573,851,40.2,68.96
RR-MN-0592,LG-MN-0592,1093,432,661,39.6,55.1
RR-ML-0593,LG-ML-0593,1227,787,440,64.2,146.07
RR-MZ-0594,LG-MZ-0594,95,38,57,40.8,8.09
RR-NL-0595,LG-NL-0595,702,385,317,54.9,83.22
RR-OD-0596,LG-OD-0596,665,118,547,17.7,12.48
RR-PB-0597,LG-PB-0597,2669,1444,1225,54.1,53.81
RR-RJ-0598,LG-RJ-0598,2045,1854,191,90.7,283.14
RR-SK-0599,LG-SK-0599,1892,372,1520,19.7,66.58
RR-TN-0600,LG-TN-0600,814,507,307,62.4,162.25
RR-TS-0601,LG-TS-0601,2456,1486,970,60.5,191.81
RR-TR-0602,LG-TR-0602,1204,683,521,56.8,38.69
RR-UP-0603,LG-UP-0603,1970,1214,756,61.6,152.82
RR-UK-0604,LG-UK-0604,646,373,273,57.8,89.16
RR-WB-0605,LG-WB-0605,1681,235,1446,14.0,21.05
RR-AN-0606,LG-AN-0606,567,474,93,83.8,93.48
RR-CH-0607,LG-CH-0607,645,524,121,81.3,85.47
RR-DH-0608,LG-DH-0608,1053,863,190,82.0,153.05
RR-DL-0609,LG-DL-0609,1872,742,1130,39.7,106.72
RR-JK-0610,LG-JK-0610,574,454,120,79.2,44.08
RR-LA-0611,LG-LA-0611,291,180,111,61.9,16.43
RR-LD-0612,LG-LD-0612,1015,798,217,78.7,136.68
RR-PY-0613,LG-PY-0613,992,667,325,67.3,67.5
RR-AP-0614,LG-AP-0614,113,54,59,48.3,11.95
RR-AR-0615,LG-AR-0615,1740,1696,44,97.5,228.75
RR-AS-0616,LG-AS-0616,1035,383,652,37.1,27.92
RR-BR-0617,LG-BR-0617,1137,406,731,35.7,64.75
RR-CG-0618,LG-CG-0618,1927,1446,481,75.1,203.65
RR-GA-0619,LG-GA-0619,906,398,508,44.0,24.26
RR-GJ-0620,LG-GJ-0620,367,265,102,72.4,81.16
RR-HR-0621,LG-HR-0621,843,431,412,51.2,51.82
RR-HP-0622,LG-HP-0622,248,146,102,59.0,65.35
RR-JH-0623,LG-JH-0623,1881,1536,345,81.7,183.58
RR-KA-0624,LG-KA-0624,1013,415,598,41.0,53.8
RR-KL-0625,LG-KL-0625,1271,1177,94,92.6,263.35
RR-MP-0626,LG-MP-0626,956,474,482,49.7,191.87
RR-MH-0627,LG-MH-0627,2684,1777,907,66.2,253.19
RR-MN-0628,LG-MN-0628,444,362,82,81.5,46.51
RR-ML-0629,LG-ML-0629,1606,1586,20,98.8,324.84
RR-MZ-0630,LG-MZ-0630,303,144,159,47.7,28.67
RR-NL-0631,LG-NL-0631,635,601,34,94.7,130.25
RR-OD-0632,LG-OD-0632,2043,699,1344,34.2,67.19
RR-PB-0633,LG-PB-0633,1307,748,559,57.3,107.25
RR-RJ-0634,LG-RJ-0634,376,264,112,70.4,29.17
RR-SK-0635,LG-SK-0635,2729,1416,1313,51.9,125.67
RR-TN-0636,LG-TN-0636,1180,586,594,49.7,165.96
RR-TS-0637,LG-TS-0637,71,68,3,96.5,28.07
RR-TR-0638,LG-TR-0638,482,350,132,72.8,50.71
RR-UP-0639,LG-UP-0639,921,483,438,52.5,41.58
RR-UK-0640,LG-UK-0640,1054,775,279,73.6,111.56
RR-WB-0641,LG-WB-0641,214,173,41,81.0,37.9
RR-AN-0642,LG-AN-0642,801,621,180,77.6,129.06
RR-CH-0643,LG-CH-0643,2059,735,1324,35.7,102.9
RR-DH-0644,LG-DH-0644,1612,1025,587,63.6,151.03
RR-DL-0645,LG-DL-0645,1421,1011,410,71.2,83.36
RR-JK-0646,LG-JK-0646,1318,466,852,35.4,71.47
RR-LA-0647,LG-LA-0647,310,243,67,78.7,24.51
RR-LD-0648,LG-LD-0648,793,583,210,73.6,110.93
RR-PY-0649,LG-PY-0649,766,703,63,91.9,99.5
RR-AP-0650,LG-AP-0650,395,309,86,78.3,91.2
RR-AR-0651,LG-AR-0651,308,235,73,76.5,80.37
RR-AS-0652,LG-AS-0652,752,617,135,82.1,152.76
RR-BR-0653,LG-BR-0653,1545,809,736,52.4,155.04
RR-CG-0654,LG-CG-0654,2547,2249,298,88.3,321.62
RR-GA-0655,LG-GA-0655,1254,1245,9,99.4,287.91
RR-GJ-0656,LG-GJ-0656,1002,359,643,35.8,136.87
RR-HR-0657,LG-HR-0657,1004,1000,4,99.7,192.83
RR-HP-0658,LG-HP-0658,304,207,97,68.3,31.2
RR-JH-0659,LG-JH-0659,634,548,86,86.5,119.03
RR-KA-0660,LG-KA-0660,341,134,207,39.5,18.95
RR-KL-0661,LG-KL-0661,283,128,155,45.4,38.56
RR-MP-0662,LG-MP-0662,345,298,47,86.6,66.58
RR-MH-0663,LG-MH-0663,428,153,275,35.9,7.96
RR-MN-0664,LG-MN-0664,438,406,32,92.9,22.51
RR-ML-0665,LG-ML-0665,1720,975,745,56.7,183.35
RR-MZ-0666,LG-MZ-0666,73,8,65,11.6,1.33
RR-NL-0667,LG-NL-0667,1893,842,1051,44.5,123.38
RR-OD-0668,LG-OD-0668,674,237,437,35.2,22.93
RR-PB-0669,LG-PB-0669,987,324,663,32.9,37.96
RR-RJ-0670,LG-RJ-0670,458,207,251,45.3,33.71
RR-SK-0671,LG-SK-0671,1742,1199,543,68.9,114.91
RR-TN-0672,LG-TN-0672,256,233,23,91.1,43.15
RR-TS-0673,LG-TS-0673,1624,1379,245,84.9,110.06
RR-TR-0674,LG-TR-0674,64,41,23,64.1,9.27
RR-UP-0675,LG-UP-0675,1398,402,996,28.8,40.05
RR-UK-0676,LG-UK-0676,1661,1433,228,86.3,241.04
RR-WB-0677,LG-WB-0677,823,332,491,40.4,45.95
RR-AN-0678,LG-AN-0678,1746,704,1042,40.4,136.69
RR-CH-0679,LG-CH-0679,2369,1848,521,78.0,285.02
RR-DH-0680,LG-DH-0680,337,231,106,68.8,55.17
RR-DL-0681,LG-DL-0681,519,268,251,51.8,52.82
RR-JK-0682,LG-JK-0682,222,147,75,66.7,24.85
RR-LA-0683,LG-LA-0683,1607,1015,592,63.2,161.45
RR-LD-0684,LG-LD-0684,206,135,71,66.0,44.35
RR-PY-0685,LG-PY-0685,1049,1030,19,98.2,64.78
RR-AP-0686,LG-AP-0686,96,51,45,53.8,3.11
RR-AR-0687,LG-AR-0687,1812,1339,473,73.9,194.1
RR-AS-0688,LG-AS-0688,1476,303,1173,20.5,15.29
RR-BR-0689,LG-BR-0689,699,672,27,96.1,59.91
RR-CG-0690,LG-CG-0690,437,309,128,70.8,67.68
RR-GA-0691,LG-GA-0691,2104,1779,325,84.6,160.75
RR-GJ-0692,LG-GJ-0692,1271,786,485,61.8,154.91
RR-HR-0693,LG-HR-0693,196,27,169,14.0,11.85
RR-HP-0694,LG-HP-0694,610,485,125,79.7,98.0
RR-JH-0695,LG-JH-0695,597,348,249,58.4,40.51
RR-KA-0696,LG-KA-0696,135,74,61,55.0,6.28
RR-KL-0697,LG-KL-0697,799,293,506,36.7,92.19
RR-MP-0698,LG-MP-0698,1144,1094,50,95.7,117.86
RR-MH-0699,LG-MH-0699,1638,770,868,47.0,113.18
RR-MN-0700,LG-MN-0700,200,159,41,79.5,43.84
RR-ML-0701,LG-ML-0701,138,120,18,87.6,23.17
RR-MZ-0702,LG-MZ-0702,1175,769,406,65.5,248.92
RR-NL-0703,LG-NL-0703,695,477,218,68.7,122.43
RR-OD-0704,LG-OD-0704,37,20,17,54.3,2.75
RR-PB-0705,LG-PB-0705,1443,996,447,69.1,88.01
RR-RJ-0706,LG-RJ-0706,101,25,76,25.3,0.89
RR-SK-0707,LG-SK-0707,259,237,22,91.8,14.8
RR-TN-0708,LG-TN-0708,832,486,346,58.5,74.88
RR-TS-0709,LG-TS-0709,1957,1637,320,83.7,307.35
RR-TR-0710,LG-TR-0710,119,115,4,96.9,25.27
RR-UP-0711,LG-UP-0711,870,674,196,77.5,163.69
RR-UK-0712,LG-UK-0712,831,458,373,55.1,46.22
RR-WB-0713,LG-WB-0713,678,660,18,97.4,170.07
RR-AN-0714,LG-AN-0714,1755,1374,381,78.3,311.42
RR-CH-0715,LG-CH-0715,257,49,208,19.3,12.86
RR-DH-0716,LG-DH-0716,483,280,203,58.0,65.47
RR-DL-0717,LG-DL-0717,772,612,160,79.3,167.17
RR-JK-0718,LG-JK-0718,1520,914,606,60.2,211.3
RR-LA-0719,LG-LA-0719,1199,930,269,77.6,48.79
RR-LD-0720,LG-LD-0720,1071,866,205,80.9,215.16
RR-PY-0721,LG-PY-0721,65,45,20,69.9,9.98
RR-AP-0722,LG-AP-0722,292,196,96,67.1,20.79
RR-AR-0723,LG-AR-0723,1350,833,517,61.8,226.28
RR-AS-0724,LG-AS-0724,735,404,331,55.0,53.88
RR-BR-0725,LG-BR-0725,1671,1246,425,74.6,133.88
RR-CG-0726,LG-CG-0726,1209,447,762,37.0,70.47
RR-GA-0727,LG-GA-0727,1177,1095,82,93.1,90.04
RR-GJ-0728,LG-GJ-0728,1344,764,580,56.9,83.77
RR-HR-0729,LG-HR-0729,1505,1134,371,75.4,135.0
RR-HP-0730,LG-HP-0730,344,280,64,81.6,42.95
RR-JH-0731,LG-JH-0731,2600,2111,489,81.2,138.76
RR-KA-0732,LG-KA-0732,877,856,21,97.6,171.05
RR-KL-0733,LG-KL-0733,1009,431,578,42.8,97.76
RR-MP-0734,LG-MP-0734,2005,247,1758,12.3,19.73
RR-MH-0735,LG-MH-0735,609,434,175,71.3,98.65
RR-MN-0736,LG-MN-0736,2648,2423,225,91.5,172.51
RR-ML-0737,LG-ML-0737,203,112,91,55.4,12.92
RR-MZ-0738,LG-MZ-0738,1246,1108,138,88.9,201.69
RR-NL-0739,LG-NL-0739,126,121,5,96.4,10.12
RR-OD-0740,LG-OD-0740,2006,1813,193,90.4,126.84
RR-PB-0741,LG-PB-0741,921,551,370,59.8,76.76
RR-RJ-0742,LG-RJ-0742,1201,628,573,52.3,175.82
RR-SK-0743,LG-SK-0743,303,212,91,70.2,45.9
RR-TN-0744,LG-TN-0744,1795,1013,782,56.5,214.71
RR-TS-0745,LG-TS-0745,1571,470,1101,30.0,83.94
RR-TR-0746,LG-TR-0746,712,390,322,54.8,36.92
RR-UP-0747,LG-UP-0747,890,602,288,67.7,143.39
RR-UK-0748,LG-UK-0748,183,160,23,87.5,17.09
RR-WB-0749,LG-WB-0749,2197,2170,27,98.8,378.95
RR-AN-0750,LG-AN-0750,158,140,18,89.2,14.73
RR-CH-0751,LG-CH-0751,127,19,108,15.5,4.34
RR-DH-0752,LG-DH-0752,1152,783,369,68.0,80.72
RR-DL-0753,LG-DL-0753,378,46,332,12.4,5.37
RR-JK-0754,LG-JK-0754,379,296,83,78.3,76.37
RR-LA-0755,LG-LA-0755,426,326,100,76.7,99.17
RR-LD-0756,LG-LD-0756,500,178,322,35.7,12.3
RR-PY-0757,LG-PY-0757,943,532,411,56.5,31.72
RR-AP-0758,LG-AP-0758,2444,1559,885,63.8,208.2
RR-AR-0759,LG-AR-0759,509,491,18,96.6,163.92
RR-AS-0760,LG-AS-0760,706,523,183,74.2,56.22
RR-BR-0761,LG-BR-0761,111,109,2,98.9,16.61
RR-CG-0762,LG-CG-0762,416,350,66,84.3,67.28
RR-GA-0763,LG-GA-0763,723,458,265,63.5,87.71
RR-GJ-0764,LG-GJ-0764,204,195,9,95.9,59.36
RR-HR-0765,LG-HR-0765,1392,1356,36,97.4,307.5
RR-HP-0766,LG-HP-0766,976,322,654,33.1,24.46
RR-JH-0767,LG-JH-0767,1862,1712,150,92.0,157.56
RR-KA-0768,LG-KA-0768,530,496,34,93.7,26.61
RR-KL-0769,LG-KL-0769,1264,763,501,60.4,73.91
RR-MP-0770,LG-MP-0770,978,844,134,86.4,150.1
RR-MH-0771,LG-MH-0771,233,219,14,94.0,65.01
RR-MN-0772,LG-MN-0772,407,209,198,51.4,70.61
RR-ML-0773,LG-ML-0773,544,543,1,99.8,152.9
RR-MZ-0774,LG-MZ-0774,918,693,225,75.5,246.7
RR-NL-0775,LG-NL-0775,936,801,135,85.6,73.59
RR-OD-0776,LG-OD-0776,1255,1176,79,93.8,215.02
RR-PB-0777,LG-PB-0777,392,219,173,56.1,53.14
RR-RJ-0778,LG-RJ-0778,2527,1453,1074,57.5,192.05
RR-SK-0779,LG-SK-0779,1146,679,467,59.3,211.8
RR-TN-0780,LG-TN-0780,72,64,8,88.9,3.12
RR-TS-0781,LG-TS-0781,1130,486,644,43.1,115.06
RR-TR-0782,LG-TR-0782,1244,889,355,71.5,130.98
RR-UP-0783,LG-UP-0783,2060,1732,328,84.1,93.64
RR-UK-0784,LG-UK-0784,1304,926,378,71.1,238.44
RR-WB-0785,LG-WB-0785,1108,963,145,87.0,77.12
RR-AN-0786,LG-AN-0786,329,58,271,17.8,4.7
RR-CH-0787,LG-CH-0787,318,262,56,82.6,43.2
RR-DH-0788,LG-DH-0788,818,478,340,58.5,100.06
RR-DL-0789,LG-DL-0789,1024,883,141,86.3,180.45
RR-JK-0790,LG-JK-0790,907,815,92,89.9,151.29
RR-LA-0791,LG-LA-0791,421,329,92,78.3,17.11
RR-LD-0792,LG-LD-0792,846,444,402,52.6,63.53
RR-PY-0793,LG-PY-0793,915,534,381,58.4,38.79
RR-AP-0794,LG-AP-0794,1005,555,450,55.3,127.33
RR-AR-0795,LG-AR-0795,1947,1657,290,85.1,329.99
RR-AS-0796,LG-AS-0796,191,139,52,73.3,67.93
RR-BR-0797,LG-BR-0797,904,694,210,76.9,130.54
RR-CG-0798,LG-CG-0798,1340,635,705,47.4,62.45
RR-GA-0799,LG-GA-0799,1244,421,823,33.8,75.76
RR-GJ-0800,LG-GJ-0800,1314,564,750,43.0,114.26
RR-HR-0801,LG-HR-0801,409,315,94,77.1,21.31
RR-HP-0802,LG-HP-0802,543,364,179,67.1,36.91
RR-JH-0803,LG-JH-0803,1061,978,83,92.3,123.74
RR-KA-0804,LG-KA-0804,69,55,14,80.7,5.48
RR-KL-0805,LG-KL-0805,2846,2553,293,89.7,285.34
RR-MP-0806,LG-MP-0806,1193,469,724,39.3,61.37
RR-MH-0807,LG-MH-0807,283,37,246,13.2,8.06
RR-MN-0808,LG-MN-0808,319,315,4,98.8,23.82
RR-ML-0809,LG-ML-0809,750,404,346,53.9,143.55
RR-MZ-0810,LG-MZ-0810,1482,791,691,53.4,141.77
RR-NL-0811,LG-NL-0811,1931,1361,570,70.5,93.22
RR-OD-0812,LG-OD-0812,1030,716,314,69.5,34.65
RR-PB-0813,LG-PB-0813,180,69,111,38.6,27.18
RR-RJ-0814,LG-RJ-0814,1485,653,832,44.0,87.51
RR-SK-0815,LG-SK-0815,830,550,280,66.3,55.03
RR-TN-0816,LG-TN-0816,108,36,72,34.2,13.03
RR-TS-0817,LG-TS-0817,368,281,87,76.4,18.12
RR-TR-0818,LG-TR-0818,1473,1456,17,98.9,101.46
RR-UP-0819,LG-UP-0819,1195,731,464,61.2,202.6
RR-UK-0820,LG-UK-0820,141,103,38,73.7,11.04
RR-WB-0821,LG-WB-0821,1624,1209,415,74.5,80.25
RR-AN-0822,LG-AN-0822,1144,693,451,60.6,227.76
RR-CH-0823,LG-CH-0823,2096,967,1129,46.2,138.04
RR-DH-0824,LG-DH-0824,1208,970,238,80.3,164.33
RR-DL-0825,LG-DL-0825,2326,1962,364,84.4,70.74
RR-JK-0826,LG-JK-0826,1019,613,406,60.2,244.32
RR-LA-0827,LG-LA-0827,1155,806,349,69.8,35.8
RR-LD-0828,LG-LD-0828,1207,476,731,39.5,61.96
RR-PY-0829,LG-PY-0829,311,201,110,64.7,33.12
RR-AP-0830,LG-AP-0830,239,89,150,37.5,7.16
RR-AR-0831,LG-AR-0831,1726,1378,348,79.9,213.8
RR-AS-0832,LG-AS-0832,942,658,284,69.9,78.91
RR-BR-0833,LG-BR-0833,147,134,13,91.8,16.89
RR-CG-0834,LG-CG-0834,257,151,106,59.0,21.62
RR-GA-0835,LG-GA-0835,1377,714,663,51.9,27.15
RR-GJ-0836,LG-GJ-0836,276,108,168,39.2,26.78
RR-HR-0837,LG-HR-0837,1488,777,711,52.3,95.15
RR-HP-0838,LG-HP-0838,365,196,169,53.7,52.9
RR-JH-0839,LG-JH-0839,417,308,109,74.0,54.76
RR-KA-0840,LG-KA-0840,819,352,467,43.0,44.49
RR-KL-0841,LG-KL-0841,472,183,289,38.8,57.4
RR-MP-0842,LG-MP-0842,1489,957,532,64.3,198.64
RR-MH-0843,LG-MH-0843,203,162,41,79.9,50.55
RR-MN-0844,LG-MN-0844,2141,1544,597,72.1,127.25
RR-ML-0845,LG-ML-0845,65,44,21,68.6,7.44
RR-MZ-0846,LG-MZ-0846,643,234,409,36.5,36.04
