comp_id,project_id,beneficiaries_total,beneficiaries_paid,beneficiaries_pending,amount_sanctioned_cr,amount_disbursed_cr,disbursement_percentage
CMP-PY-0361,LG-PY-0361,2844,1368,1476,1527.57,735.1,48.1
CMP-AP-0362,LG-AP-0362,923,843,80,693.54,634.13,91.4
CMP-AR-0363,LG-AR-0363,547,385,162,184.62,130.12,70.5
CMP-AS-0364,LG-AS-0364,392,333,59,410.67,349.1,85.0
CMP-BR-0365,LG-BR-0365,960,855,105,669.27,596.58,89.1
CMP-CG-0366,LG-CG-0366,594,248,346,785.49,328.71,41.8
CMP-GA-0367,LG-GA-0367,1871,1362,509,646.2,470.47,72.8
CMP-GJ-0368,LG-GJ-0368,83,80,3,58.26,56.43,96.9
CMP-HR-0369,LG-HR-0369,2127,1812,315,1300.8,1108.73,85.2
CMP-HP-0370,LG-HP-0370,1093,810,283,411.57,305.33,74.2
CMP-JH-0371,LG-JH-0371,228,149,79,264.42,172.97,65.4
CMP-KA-0372,LG-KA-0372,378,368,10,690.72,672.58,97.4
CMP-KL-0373,LG-KL-0373,1495,1345,150,1273.5,1146.22,90.0
CMP-MP-0374,LG-MP-0374,2404,1049,1355,705.03,307.85,43.7
CMP-MH-0375,LG-MH-0375,1005,566,439,960.78,541.39,56.3
CMP-MN-0376,LG-MN-0376,1647,1015,632,408.75,252.07,61.7
CMP-ML-0377,LG-ML-0377,894,808,86,287.94,260.52,90.5
CMP-MZ-0378,LG-MZ-0378,114,103,11,235.29,213.99,90.9
CMP-NL-0379,LG-NL-0379,778,470,308,1322.7,799.1,60.4
CMP-OD-0380,LG-OD-0380,493,383,110,1174.11,913.08,77.8
CMP-PB-0381,LG-PB-0381,2271,1828,443,1388.22,1117.53,80.5
CMP-RJ-0382,LG-RJ-0382,1194,708,486,1842.48,1093.59,59.4
CMP-SK-0383,LG-SK-0383,461,204,257,283.59,125.78,44.4
CMP-TN-0384,LG-TN-0384,882,686,196,437.28,340.54,77.9
CMP-TS-0385,LG-TS-0385,195,129,66,276.09,183.02,66.3
CMP-TR-0386,LG-TR-0386,1465,934,531,1461.57,932.72,63.8
CMP-UP-0387,LG-UP-0387,1367,1102,265,2417.37,1950.27,80.7
CMP-UK-0388,LG-UK-0388,1804,1403,401,1642.17,1277.25,77.8
CMP-WB-0389,LG-WB-0389,1164,934,230,861.36,691.69,80.3
CMP-AN-0390,LG-AN-0390,84,76,8,87.33,80.05,91.7
CMP-CH-0391,LG-CH-0391,2361,1960,401,1074.36,892.29,83.1
CMP-DH-0392,LG-DH-0392,1020,272,748,1551.9,414.55,26.7
CMP-DL-0393,LG-DL-0393,89,67,22,240.54,182.51,75.9
CMP-JK-0394,LG-JK-0394,911,389,522,1245.93,532.93,42.8
CMP-LA-0395,LG-LA-0395,1105,1089,16,1691.91,1667.45,98.6
CMP-LD-0396,LG-LD-0396,1299,901,398,706.47,490.26,69.4
CMP-PY-0397,LG-PY-0397,306,226,80,113.04,83.56,73.9
CMP-AP-0398,LG-AP-0398,413,364,49,603.03,532.04,88.2
CMP-AR-0399,LG-AR-0399,166,129,37,288.75,225.01,77.9
CMP-AS-0400,LG-AS-0400,94,93,1,22.83,22.72,99.5
CMP-BR-0401,LG-BR-0401,1013,642,371,942.84,598.16,63.4
CMP-CG-0402,LG-CG-0402,871,549,322,1745.46,1101.76,63.1
CMP-GA-0403,LG-GA-0403,272,223,49,144.57,118.72,82.1
CMP-GJ-0404,LG-GJ-0404,367,164,203,552.57,246.99,44.7
CMP-HR-0405,LG-HR-0405,794,596,198,413.07,310.46,75.2
CMP-HP-0406,LG-HP-0406,1194,1032,162,645.24,558.23,86.5
CMP-JH-0407,LG-JH-0407,211,189,22,175.89,157.82,89.7
CMP-KA-0408,LG-KA-0408,1093,516,577,485.91,229.67,47.3
CMP-KL-0409,LG-KL-0409,299,130,169,83.79,36.48,43.5
CMP-MP-0410,LG-MP-0410,1400,1311,89,1635.45,1532.3,93.7
CMP-MH-0411,LG-MH-0411,444,416,28,200.55,188.31,93.9
CMP-MN-0412,LG-MN-0412,250,182,68,336.63,245.68,73.0
CMP-ML-0413,LG-ML-0413,2066,751,1315,1310.97,476.9,36.4
CMP-MZ-0414,LG-MZ-0414,1241,522,719,465.3,195.97,42.1
CMP-NL-0415,LG-NL-0415,456,195,261,193.05,82.76,42.9
CMP-OD-0416,LG-OD-0416,1843,1040,803,1627.95,918.76,56.4
CMP-PB-0417,LG-PB-0417,443,368,75,1092.18,908.28,83.2
CMP-RJ-0418,LG-RJ-0418,1336,754,582,1550.16,875.24,56.5
CMP-SK-0419,LG-SK-0419,170,49,121,50.94,14.92,29.3
CMP-TN-0420,LG-TN-0420,1362,938,424,1262.46,870.02,68.9
CMP-TS-0421,LG-TS-0421,482,261,221,383.13,207.88,54.3
CMP-TR-0422,LG-TR-0422,138,99,39,159.42,115.03,72.2
CMP-UP-0423,LG-UP-0423,786,132,654,2006.64,338.52,16.9
CMP-UK-0424,LG-UK-0424,636,100,536,794.04,125.38,15.8
CMP-WB-0425,LG-WB-0425,2662,2299,363,892.14,770.63,86.4
CMP-AN-0426,LG-AN-0426,1680,947,733,526.53,297.04,56.4
CMP-CH-0427,LG-CH-0427,602,242,360,570.0,229.38,40.2
CMP-DH-0428,LG-DH-0428,780,387,393,1524.0,756.16,49.6
CMP-DL-0429,LG-DL-0429,1571,1320,251,1597.68,1342.84,84.0
CMP-JK-0430,LG-JK-0430,574,345,229,467.43,281.66,60.3
CMP-LA-0431,LG-LA-0431,221,155,66,142.11,99.7,70.2
CMP-LD-0432,LG-LD-0432,94,81,13,60.66,52.55,86.6
CMP-PY-0433,LG-PY-0433,2701,2445,256,2447.31,2215.42,90.5
CMP-AP-0434,LG-AP-0434,2779,2038,741,1668.3,1223.89,73.4
CMP-AR-0435,LG-AR-0435,1224,814,410,999.93,665.24,66.5
CMP-AS-0436,LG-AS-0436,1592,1416,176,1519.74,1351.82,89.0
CMP-BR-0437,LG-BR-0437,829,556,273,348.42,233.98,67.2
CMP-CG-0438,LG-CG-0438,951,730,221,823.23,631.92,76.8
CMP-GA-0439,LG-GA-0439,1245,1140,105,686.76,628.96,91.6
CMP-GJ-0440,LG-GJ-0440,69,36,33,26.82,14.22,53.0
CMP-HR-0441,LG-HR-0441,261,124,137,362.73,173.64,47.9
CMP-HP-0442,LG-HP-0442,355,265,90,749.94,561.06,74.8
CMP-JH-0443,LG-JH-0443,781,193,588,1408.98,348.89,24.8
CMP-KA-0444,LG-KA-0444,843,701,142,818.1,681.05,83.2
CMP-KL-0445,LG-KL-0445,758,407,351,2074.14,1116.35,53.8
CMP-MP-0446,LG-MP-0446,1470,1254,216,1673.88,1428.89,85.4
CMP-MH-0447,LG-MH-0447,90,84,6,31.26,29.41,94.1
CMP-MN-0448,LG-MN-0448,696,263,433,410.55,155.52,37.9
CMP-ML-0449,LG-ML-0449,1606,1313,293,768.78,628.81,81.8
CMP-MZ-0450,LG-MZ-0450,1229,341,888,1515.39,420.84,27.8
CMP-NL-0451,LG-NL-0451,583,450,133,491.94,380.28,77.3
CMP-OD-0452,LG-OD-0452,1435,1318,117,972.0,893.06,91.9
CMP-PB-0453,LG-PB-0453,1047,913,134,1071.6,935.36,87.3
CMP-RJ-0454,LG-RJ-0454,292,215,77,121.56,89.7,73.8
CMP-SK-0455,LG-SK-0455,1695,1249,446,1852.8,1365.67,73.7
CMP-TN-0456,LG-TN-0456,36,11,25,34.38,11.42,33.2
CMP-TS-0457,LG-TS-0457,813,792,21,775.38,756.08,97.5
CMP-TR-0458,LG-TR-0458,1507,1467,40,1207.89,1176.19,97.4
CMP-UP-0459,LG-UP-0459,1030,798,232,450.36,349.18,77.5
CMP-UK-0460,LG-UK-0460,1119,521,598,427.17,199.12,46.6
CMP-WB-0461,LG-WB-0461,1040,719,321,747.9,517.65,69.2
CMP-AN-0462,LG-AN-0462,319,237,82,426.36,316.94,74.3
CMP-CH-0463,LG-CH-0463,1077,898,179,610.56,509.49,83.4
CMP-DH-0464,LG-DH-0464,374,228,146,476.91,291.59,61.1
CMP-DL-0465,LG-DL-0465,2335,2155,180,1313.94,1213.09,92.3
CMP-JK-0466,LG-JK-0466,676,550,126,653.07,531.77,81.4
CMP-LA-0467,LG-LA-0467,69,55,14,45.63,36.43,79.8
CMP-LD-0468,LG-LD-0468,1118,1095,23,776.76,761.37,98.0
CMP-PY-0469,LG-PY-0469,308,295,13,408.36,391.62,95.9
CMP-AP-0470,LG-AP-0470,1165,800,365,977.04,671.02,68.7
CMP-AR-0471,LG-AR-0471,658,599,59,711.48,648.21,91.1
CMP-AS-0472,LG-AS-0472,956,687,269,1594.29,1146.73,71.9
CMP-BR-0473,LG-BR-0473,446,402,44,201.93,182.29,90.3
CMP-CG-0474,LG-CG-0474,667,533,134,1259.73,1008.11,80.0
CMP-GA-0475,LG-GA-0475,60,46,14,44.91,35.06,78.1
CMP-GJ-0476,LG-GJ-0476,949,404,545,2023.35,862.79,42.6
CMP-HR-0477,LG-HR-0477,1378,894,484,314.73,204.22,64.9
CMP-HP-0478,LG-HP-0478,452,222,230,497.88,244.77,49.2
CMP-JH-0479,LG-JH-0479,1204,1090,114,519.06,470.08,90.6
CMP-KA-0480,LG-KA-0480,523,501,22,781.53,748.84,95.8
CMP-KL-0481,LG-KL-0481,793,691,102,361.41,315.34,87.3
CMP-MP-0482,LG-MP-0482,833,628,205,483.09,364.53,75.5
CMP-MH-0483,LG-MH-0483,100,80,20,141.54,114.12,80.6
CMP-MN-0484,LG-MN-0484,1300,973,327,1558.17,1166.32,74.9
CMP-ML-0485,LG-ML-0485,582,458,124,992.94,781.83,78.7
CMP-MZ-0486,LG-MZ-0486,681,405,276,1598.46,950.99,59.5
CMP-NL-0487,LG-NL-0487,1498,674,824,2495.37,1124.3,45.1
CMP-OD-0488,LG-OD-0488,2744,2582,162,1324.56,1246.42,94.1
CMP-PB-0489,LG-PB-0489,1820,1381,439,1523.07,1156.49,75.9
CMP-RJ-0490,LG-RJ-0490,1742,1044,698,1162.29,696.82,60.0
CMP-SK-0491,LG-SK-0491,2130,799,1331,1980.87,743.96,37.6
CMP-TN-0492,LG-TN-0492,445,312,133,372.24,261.23,70.2
CMP-TS-0493,LG-TS-0493,1420,1043,377,1018.59,748.52,73.5
CMP-TR-0494,LG-TR-0494,1833,1692,141,1596.27,1473.94,92.3
CMP-UP-0495,LG-UP-0495,938,324,614,1181.46,408.31,34.6
CMP-UK-0496,LG-UK-0496,1728,1266,462,1559.94,1143.4,73.3
CMP-WB-0497,LG-WB-0497,1178,1067,111,527.13,477.87,90.7
CMP-AN-0498,LG-AN-0498,587,453,134,279.54,216.01,77.3
CMP-CH-0499,LG-CH-0499,1006,435,571,565.32,244.74,43.3
CMP-DH-0500,LG-DH-0500,1067,739,328,1087.62,753.69,69.3
CMP-DL-0501,LG-DL-0501,353,337,16,346.68,331.74,95.7
CMP-JK-0502,LG-JK-0502,520,421,99,467.97,379.08,81.0
CMP-LA-0503,LG-LA-0503,1615,1507,108,2239.47,2090.24,93.3
CMP-LD-0504,LG-LD-0504,761,415,346,971.1,530.69,54.6
CMP-PY-0505,LG-PY-0505,262,216,46,114.93,95.19,82.8
CMP-AP-0506,LG-AP-0506,74,52,22,174.12,124.63,71.6
CMP-AR-0507,LG-AR-0507,60,59,1,116.43,115.85,99.5
CMP-AS-0508,LG-AS-0508,545,496,49,438.45,399.79,91.2
CMP-BR-0509,LG-BR-0509,559,247,312,281.91,124.89,44.3
CMP-CG-0510,LG-CG-0510,654,161,493,623.61,153.92,24.7
CMP-GA-0511,LG-GA-0511,1406,1186,220,1779.03,1501.77,84.4
CMP-GJ-0512,LG-GJ-0512,2586,537,2049,1437.18,298.46,20.8
CMP-HR-0513,LG-HR-0513,1009,675,334,2490.48,1666.94,66.9
CMP-HP-0514,LG-HP-0514,249,129,120,125.73,65.27,51.9
CMP-JH-0515,LG-JH-0515,631,519,112,353.16,290.49,82.3
CMP-KA-0516,LG-KA-0516,308,229,79,270.63,201.59,74.5
CMP-KL-0517,LG-KL-0517,84,83,1,28.8,28.64,99.5
CMP-MP-0518,LG-MP-0518,1605,1561,44,1387.17,1349.51,97.3
CMP-MH-0519,LG-MH-0519,230,167,63,268.56,195.45,72.8
CMP-MN-0520,LG-MN-0520,986,748,238,1182.66,897.97,75.9
CMP-ML-0521,LG-ML-0521,1800,1056,744,530.64,311.47,58.7
CMP-MZ-0522,LG-MZ-0522,336,256,80,238.32,182.13,76.4
CMP-NL-0523,LG-NL-0523,1612,1051,561,842.85,549.58,65.2
CMP-OD-0524,LG-OD-0524,166,125,41,178.71,135.33,75.7
CMP-PB-0525,LG-PB-0525,235,119,116,151.14,77.16,51.1
CMP-RJ-0526,LG-RJ-0526,647,270,377,659.91,275.41,41.7
CMP-SK-0527,LG-SK-0527,527,465,62,496.08,438.37,88.4
CMP-TN-0528,LG-TN-0528,2140,975,1165,2372.49,1081.76,45.6
CMP-TS-0529,LG-TS-0529,1302,665,637,1225.17,626.03,51.1
CMP-TR-0530,LG-TR-0530,801,654,147,533.94,436.0,81.7
CMP-UP-0531,LG-UP-0531,1325,1273,52,586.89,563.87,96.1
CMP-UK-0532,LG-UK-0532,1448,1204,244,2369.49,1971.06,83.2
CMP-WB-0533,LG-WB-0533,724,539,185,1428.54,1064.8,74.5
CMP-AN-0534,LG-AN-0534,2512,1600,912,2529.45,1611.74,63.7
CMP-CH-0535,LG-CH-0535,948,631,317,906.81,603.98,66.6
CMP-DH-0536,LG-DH-0536,228,209,19,148.29,136.05,91.7
CMP-DL-0537,LG-DL-0537,22,20,2,69.54,65.64,94.4
CMP-JK-0538,LG-JK-0538,64,33,31,115.35,60.42,52.4
CMP-LA-0539,LG-LA-0539,543,257,286,216.93,102.86,47.4
CMP-LD-0540,LG-LD-0540,1886,1516,370,1755.0,1411.51,80.4
CMP-PY-0541,LG-PY-0541,850,438,412,1100.7,568.07,51.6
CMP-AP-0542,LG-AP-0542,251,220,31,232.74,204.46,87.8
CMP-AR-0543,LG-AR-0543,333,168,165,394.26,199.99,50.7
CMP-AS-0544,LG-AS-0544,1781,1023,758,748.98,430.35,57.5
CMP-BR-0545,LG-BR-0545,964,776,188,1356.27,1092.46,80.5
CMP-CG-0546,LG-CG-0546,2007,944,1063,1998.78,940.65,47.1
CMP-GA-0547,LG-GA-0547,1478,758,720,694.62,356.57,51.3
CMP-GJ-0548,LG-GJ-0548,827,711,116,552.24,475.03,86.0
CMP-HR-0549,LG-HR-0549,1389,857,532,714.48,440.95,61.7
CMP-HP-0550,LG-HP-0550,96,84,12,76.05,66.93,88.0
CMP-JH-0551,LG-JH-0551,1073,767,306,569.76,407.61,71.5
CMP-KA-0552,LG-KA-0552,2302,1903,399,631.23,521.95,82.7
CMP-KL-0553,LG-KL-0553,95,40,55,63.75,27.35,42.9
CMP-MP-0554,LG-MP-0554,282,105,177,411.99,153.79,37.3
CMP-MH-0555,LG-MH-0555,655,558,97,604.47,515.0,85.2
CMP-MN-0556,LG-MN-0556,845,588,257,2325.9,1619.53,69.6
CMP-ML-0557,LG-ML-0557,2436,1758,678,1930.41,1393.88,72.2
CMP-MZ-0558,LG-MZ-0558,1743,1080,663,1882.71,1167.62,62.0
CMP-NL-0559,LG-NL-0559,361,267,94,497.97,368.86,74.1
CMP-OD-0560,LG-OD-0560,50,45,5,81.66,74.95,91.8
CMP-PB-0561,LG-PB-0561,1832,1085,747,1092.78,647.41,59.2
CMP-RJ-0562,LG-RJ-0562,591,467,124,608.1,480.89,79.1
CMP-SK-0563,LG-SK-0563,336,264,72,129.63,102.07,78.7
CMP-TN-0564,LG-TN-0564,189,152,37,330.72,267.51,80.9
CMP-TS-0565,LG-TS-0565,154,40,114,269.7,70.66,26.2
CMP-TR-0566,LG-TR-0566,720,293,427,648.51,264.71,40.8
CMP-UP-0567,LG-UP-0567,1554,1080,474,575.61,400.09,69.5
CMP-UK-0568,LG-UK-0568,493,375,118,192.9,147.05,76.2
CMP-WB-0569,LG-WB-0569,807,762,45,588.12,555.4,94.4
CMP-AN-0570,LG-AN-0570,1367,1302,65,1115.55,1063.19,95.3
CMP-CH-0571,LG-CH-0571,479,450,29,456.42,429.44,94.1
CMP-DH-0572,LG-DH-0572,119,80,39,126.3,85.11,67.4
CMP-DL-0573,LG-DL-0573,385,268,117,544.02,379.33,69.7
CMP-JK-0574,LG-JK-0574,434,369,65,479.31,407.64,85.0
CMP-LA-0575,LG-LA-0575,749,561,188,878.13,658.43,75.0
CMP-LD-0576,LG-LD-0576,1397,1008,389,506.4,365.57,72.2
CMP-PY-0577,LG-PY-0577,1538,1169,369,766.2,582.74,76.1
CMP-AP-0578,LG-AP-0578,546,363,183,284.34,189.2,66.5
CMP-AR-0579,LG-AR-0579,456,247,209,939.39,510.53,54.3
CMP-AS-0580,LG-AS-0580,2765,2022,743,1758.39,1286.32,73.2
CMP-BR-0581,LG-BR-0581,977,487,490,1050.99,524.54,49.9
CMP-CG-0582,LG-CG-0582,770,579,191,703.05,529.05,75.3
CMP-GA-0583,LG-GA-0583,739,403,336,438.12,239.39,54.6
CMP-GJ-0584,LG-GJ-0584,179,37,142,76.23,15.88,20.8
CMP-HR-0585,LG-HR-0585,297,67,230,170.76,38.84,22.7
CMP-HP-0586,LG-HP-0586,146,141,5,78.84,76.28,96.8
CMP-JH-0587,LG-JH-0587,814,203,611,1368.33,342.27,25.0
CMP-KA-0588,LG-KA-0588,835,692,143,1792.11,1486.23,82.9
CMP-KL-0589,LG-KL-0589,1616,1517,99,587.31,551.49,93.9
CMP-MP-0590,LG-MP-0590,1803,901,902,1142.97,571.8,50.0
CMP-MH-0591,LG-MH-0591,1424,808,616,1028.13,583.89,56.8
CMP-MN-0592,LG-MN-0592,1093,630,463,834.93,481.63,57.7
CMP-ML-0593,LG-ML-0593,1227,798,429,1364.73,887.82,65.1
CMP-MZ-0594,LG-MZ-0594,95,47,48,118.98,60.0,50.4
CMP-NL-0595,LG-NL-0595,702,376,326,910.05,488.37,53.7
CMP-OD-0596,LG-OD-0596,665,103,562,421.92,65.91,15.6
CMP-PB-0597,LG-PB-0597,2669,1597,1072,596.52,357.08,59.9
CMP-RJ-0598,LG-RJ-0598,2045,1843,202,1873.11,1688.26,90.1
CMP-SK-0599,LG-SK-0599,1892,726,1166,2031.27,780.47,38.4
CMP-TN-0600,LG-TN-0600,814,606,208,1560.18,1161.84,74.5
CMP-TS-0601,LG-TS-0601,2456,1841,615,1901.49,1425.47,75.0
CMP-TR-0602,LG-TR-0602,1204,756,448,409.05,256.98,62.8
CMP-UP-0603,LG-UP-0603,1970,1322,648,1487.58,998.73,67.1
CMP-UK-0604,LG-UK-0604,646,305,341,926.07,438.19,47.3
CMP-WB-0605,LG-WB-0605,1681,627,1054,903.06,337.26,37.3
CMP-AN-0606,LG-AN-0606,567,535,32,669.63,632.97,94.5
CMP-CH-0607,LG-CH-0607,645,622,23,630.75,608.9,96.5
CMP-DH-0608,LG-DH-0608,1053,1008,45,1120.23,1073.39,95.8
CMP-DL-0609,LG-DL-0609,1872,945,927,1613.58,814.75,50.5
CMP-JK-0610,LG-JK-0610,574,400,174,334.17,233.33,69.8
CMP-LA-0611,LG-LA-0611,291,246,45,159.3,135.13,84.8
CMP-LD-0612,LG-LD-0612,1015,847,168,1042.11,870.12,83.5
CMP-PY-0613,LG-PY-0613,992,651,341,601.5,394.76,65.6
CMP-AP-0614,LG-AP-0614,113,49,64,148.53,65.58,44.2
CMP-AR-0615,LG-AR-0615,1740,1680,60,1407.75,1359.72,96.6
CMP-AS-0616,LG-AS-0616,1035,554,481,451.62,242.03,53.6
CMP-BR-0617,LG-BR-0617,1137,546,591,1086.78,522.15,48.0
CMP-CG-0618,LG-CG-0618,1927,1296,631,1628.13,1095.78,67.3
CMP-GA-0619,LG-GA-0619,906,563,343,330.54,205.41,62.1
CMP-GJ-0620,LG-GJ-0620,367,242,125,672.93,444.54,66.1
CMP-HR-0621,LG-HR-0621,843,389,454,607.32,280.74,46.2
CMP-HP-0622,LG-HP-0622,248,151,97,664.38,406.11,61.1
CMP-JH-0623,LG-JH-0623,1881,1843,38,1348.32,1321.11,98.0
CMP-KA-0624,LG-KA-0624,1013,414,599,787.89,322.55,40.9
CMP-KL-0625,LG-KL-0625,1271,1266,5,1706.04,1699.79,99.6
CMP-MP-0626,LG-MP-0626,956,384,572,2318.58,933.62,40.3
CMP-MH-0627,LG-MH-0627,2684,2071,613,2293.92,1770.79,77.2
CMP-MN-0628,LG-MN-0628,444,407,37,342.27,314.1,91.8
CMP-ML-0629,LG-ML-0629,1606,1544,62,1973.16,1898.08,96.2
CMP-MZ-0630,LG-MZ-0630,303,140,163,360.45,167.07,46.4
CMP-NL-0631,LG-NL-0631,635,585,50,824.97,760.24,92.2
CMP-OD-0632,LG-OD-0632,2043,744,1299,1178.01,429.26,36.4
CMP-PB-0633,LG-PB-0633,1307,812,495,1123.74,698.78,62.2
CMP-RJ-0634,LG-RJ-0634,376,300,76,248.58,198.83,80.0
CMP-SK-0635,LG-SK-0635,2729,1626,1103,1452.48,865.71,59.6
CMP-TN-0636,LG-TN-0636,1180,701,479,2003.97,1190.97,59.4
CMP-TS-0637,LG-TS-0637,71,67,4,174.57,165.88,95.0
CMP-TR-0638,LG-TR-0638,482,373,109,418.26,324.32,77.5
CMP-UP-0639,LG-UP-0639,921,580,341,475.32,299.79,63.1
CMP-UK-0640,LG-UK-0640,1054,880,174,909.93,760.19,83.5
CMP-WB-0641,LG-WB-0641,214,212,2,280.86,279.23,99.4
CMP-AN-0642,LG-AN-0642,801,667,134,998.37,831.68,83.3
CMP-CH-0643,LG-CH-0643,2059,914,1145,1728.06,767.78,44.4
CMP-DH-0644,LG-DH-0644,1612,1048,564,1424.64,926.66,65.0
CMP-DL-0645,LG-DL-0645,1421,1036,385,702.99,512.89,73.0
CMP-JK-0646,LG-JK-0646,1318,454,864,1211.97,417.54,34.5
CMP-LA-0647,LG-LA-0647,310,234,76,186.9,141.64,75.8
CMP-LD-0648,LG-LD-0648,793,634,159,903.93,723.1,80.0
CMP-PY-0649,LG-PY-0649,766,672,94,649.8,570.12,87.7
CMP-AP-0650,LG-AP-0650,395,283,112,699.06,501.63,71.8
CMP-AR-0651,LG-AR-0651,308,237,71,630.36,486.62,77.2
CMP-AS-0652,LG-AS-0652,752,651,101,1115.79,966.42,86.6
CMP-BR-0653,LG-BR-0653,1545,686,859,1775.25,788.8,44.4
CMP-CG-0654,LG-CG-0654,2547,2288,259,2185.14,1963.72,89.9
CMP-GA-0655,LG-GA-0655,1254,1090,164,1738.74,1511.55,86.9
CMP-GJ-0656,LG-GJ-0656,1002,418,584,2291.01,956.06,41.7
CMP-HR-0657,LG-HR-0657,1004,854,150,1160.52,987.55,85.1
CMP-HP-0658,LG-HP-0658,304,201,103,274.08,181.39,66.2
CMP-JH-0659,LG-JH-0659,634,553,81,825.54,720.87,87.3
CMP-KA-0660,LG-KA-0660,341,218,123,287.46,184.45,64.2
CMP-KL-0661,LG-KL-0661,283,151,132,509.1,272.39,53.5
CMP-MP-0662,LG-MP-0662,345,302,43,461.16,404.05,87.6
CMP-MH-0663,LG-MH-0663,428,248,180,132.93,77.3,58.2
CMP-MN-0664,LG-MN-0664,438,436,2,145.35,144.87,99.7
CMP-ML-0665,LG-ML-0665,1720,727,993,1940.31,820.98,42.3
CMP-MZ-0666,LG-MZ-0666,73,31,42,68.76,30.12,43.8
CMP-NL-0667,LG-NL-0667,1893,858,1035,1663.26,754.33,45.4
CMP-OD-0668,LG-OD-0668,674,131,543,390.9,76.24,19.5
CMP-PB-0669,LG-PB-0669,987,310,677,692.85,218.18,31.5
CMP-RJ-0670,LG-RJ-0670,458,293,165,446.4,286.14,64.1
CMP-SK-0671,LG-SK-0671,1742,1443,299,1001.31,829.69,82.9
CMP-TN-0672,LG-TN-0672,256,218,38,284.25,242.75,85.4
CMP-TS-0673,LG-TS-0673,1624,1504,120,777.54,720.2,92.6
CMP-TR-0674,LG-TR-0674,64,50,14,86.79,68.62,79.1
CMP-UP-0675,LG-UP-0675,1398,378,1020,834.24,225.99,27.1
CMP-UK-0676,LG-UK-0676,1661,1473,188,1675.2,1486.56,88.7
CMP-WB-0677,LG-WB-0677,823,350,473,682.32,290.34,42.6
CMP-AN-0678,LG-AN-0678,1746,1068,678,2032.11,1243.71,61.2
CMP-CH-0679,LG-CH-0679,2369,1872,497,2191.98,1732.46,79.0
CMP-DH-0680,LG-DH-0680,337,281,56,481.47,402.23,83.5
CMP-DL-0681,LG-DL-0681,519,295,224,612.27,348.13,56.9
CMP-JK-0682,LG-JK-0682,222,174,48,223.68,175.55,78.5
CMP-LA-0683,LG-LA-0683,1607,1093,514,1532.85,1043.24,68.1
CMP-LD-0684,LG-LD-0684,206,136,70,403.2,267.58,66.4
CMP-PY-0685,LG-PY-0685,1049,943,106,395.82,356.19,90.0
CMP-AP-0686,LG-AP-0686,96,41,55,34.71,14.98,43.2
CMP-AR-0687,LG-AR-0687,1812,1418,394,1575.3,1232.88,78.3
CMP-AS-0688,LG-AS-0688,1476,330,1146,446.58,100.0,22.4
CMP-BR-0689,LG-BR-0689,699,656,43,373.89,351.13,93.9
CMP-CG-0690,LG-CG-0690,437,359,78,573.96,472.39,82.3
CMP-GA-0691,LG-GA-0691,2104,1988,116,1140.39,1077.55,94.5
CMP-GJ-0692,LG-GJ-0692,1271,852,419,1502.88,1008.03,67.1
CMP-HR-0693,LG-HR-0693,196,82,114,505.95,212.08,41.9
CMP-HP-0694,LG-HP-0694,610,439,171,738.09,531.48,72.0
CMP-JH-0695,LG-JH-0695,597,250,347,416.46,174.57,41.9
CMP-KA-0696,LG-KA-0696,135,65,70,68.52,33.47,48.8
CMP-KL-0697,LG-KL-0697,799,492,307,1505.97,927.38,61.6
CMP-MP-0698,LG-MP-0698,1144,1075,69,739.02,694.99,94.0
CMP-MH-0699,LG-MH-0699,1638,968,670,1443.87,853.45,59.1
CMP-MN-0700,LG-MN-0700,200,150,50,330.84,249.55,75.4
CMP-ML-0701,LG-ML-0701,138,131,7,158.7,151.36,95.4
CMP-MZ-0702,LG-MZ-0702,1175,783,392,2279.22,1520.26,66.7
CMP-NL-0703,LG-NL-0703,695,567,128,1068.99,873.17,81.7
CMP-OD-0704,LG-OD-0704,37,19,18,30.36,15.71,51.7
CMP-PB-0705,LG-PB-0705,1443,1045,398,764.52,553.66,72.4
CMP-RJ-0706,LG-RJ-0706,101,43,58,21.06,9.1,43.2
CMP-SK-0707,LG-SK-0707,259,243,16,96.75,90.99,94.0
CMP-TN-0708,LG-TN-0708,832,409,423,768.63,378.01,49.2
CMP-TS-0709,LG-TS-0709,1957,1805,152,2204.43,2034.29,92.3
CMP-TR-0710,LG-TR-0710,119,107,12,156.48,141.73,90.6
CMP-UP-0711,LG-UP-0711,870,568,302,1266.54,826.98,65.3
CMP-UK-0712,LG-UK-0712,831,439,392,503.16,266.0,52.9
CMP-WB-0713,LG-WB-0713,678,653,25,1047.36,1010.27,96.5
CMP-AN-0714,LG-AN-0714,1755,1485,270,2386.32,2019.49,84.6
CMP-CH-0715,LG-CH-0715,257,63,194,400.05,98.96,24.7
CMP-DH-0716,LG-DH-0716,483,213,270,677.43,299.46,44.2
CMP-DL-0717,LG-DL-0717,772,553,219,1264.32,907.09,71.7
CMP-JK-0718,LG-JK-0718,1520,996,524,2106.18,1380.83,65.6
CMP-LA-0719,LG-LA-0719,1199,997,202,377.16,313.79,83.2
CMP-LD-0720,LG-LD-0720,1071,972,99,1596.09,1449.3,90.8
CMP-PY-0721,LG-PY-0721,65,45,20,85.71,59.45,69.4
CMP-AP-0722,LG-AP-0722,292,227,65,185.88,144.73,77.9
